,datetime,open,high,low,close,volume
18208,2024-04-05 17:49:00,153.0,153.0,153.0,153.0,5
18209,2024-04-05 17:46:00,153.0,153.0,153.0,153.0,100
18210,2024-04-05 17:45:00,153.0,153.0,153.0,153.0,30
18211,2024-04-05 17:39:00,154.12,154.12,153.94,153.94,50
18212,2024-04-05 17:32:00,148.92,148.92,148.92,148.92,30
18213,2024-04-05 17:31:00,149.0,149.0,149.0,149.0,80
18214,2024-04-05 17:26:00,150.0,150.0,149.8,149.8,300
18215,2024-04-05 17:19:00,151.48,151.48,151.48,151.48,100
18216,2024-04-05 17:18:00,151.10001,151.10001,151.10001,151.10001,50
18217,2024-04-05 17:13:00,151.2,151.2,150.86,150.86,370
18218,2024-04-05 17:12:00,151.8,151.8,151.8,151.8,30
18219,2024-04-05 17:09:00,154.0,154.0,154.0,154.0,5
18220,2024-04-05 17:07:00,153.75999,153.75999,153.75999,153.75999,208
18221,2024-04-05 17:06:00,155.12,155.12,155.12,155.12,20
18222,2024-04-05 16:56:00,157.0,157.0,157.0,157.0,95
18223,2024-04-05 16:40:00,157.36,157.36,157.36,157.36,5
18224,2024-04-05 16:29:00,155.98,155.98,155.98,155.98,21
18225,2024-04-05 16:22:00,156.98,156.98,156.98,156.98,115
18226,2024-04-05 16:07:00,157.17999,157.17999,157.17999,157.17999,50
18227,2024-04-05 15:56:00,156.74001,156.74001,156.74001,156.74001,50
18228,2024-04-05 15:40:00,155.28,155.28,155.28,155.28,4
18229,2024-04-05 15:30:00,156.0,156.0,155.84,155.84,130
18230,2024-04-05 15:11:00,157.66,157.66,157.66,157.66,20
18231,2024-04-05 14:41:00,157.58,157.58,157.58,157.58,32
18232,2024-04-05 14:39:00,158.0,158.0,158.0,158.0,700
18233,2024-04-05 14:35:00,159.2,159.2,159.2,159.2,12
18234,2024-04-05 14:18:00,158.02,158.02,158.02,158.02,150
18235,2024-04-05 14:06:00,158.82001,158.82001,158.82001,158.82001,5
18236,2024-04-05 14:03:00,158.92,158.92,158.92,158.92,10
18237,2024-04-05 14:02:00,158.44,158.44,158.44,158.44,5
18238,2024-04-05 14:01:00,158.94,158.94,158.94,158.94,5
18239,2024-04-05 13:54:00,158.38,158.38,158.38,158.38,15
18240,2024-04-05 13:04:00,158.2,158.58,158.2,158.58,15
18241,2024-04-05 13:01:00,158.12,158.12,158.12,158.12,5
18242,2024-04-05 12:41:00,158.56,158.56,158.56,158.56,3
18243,2024-04-05 12:34:00,158.44,158.44,158.10001,158.10001,197
18244,2024-04-05 12:11:00,158.14,158.14,158.14,158.14,10
18245,2024-04-05 11:52:00,158.75999,158.75999,158.75999,158.75999,20
18246,2024-04-05 11:44:00,158.22,158.22,158.22,158.22,75
18247,2024-04-05 11:30:00,159.34,159.34,159.34,159.34,9
18248,2024-04-05 11:27:00,158.94,158.94,158.94,158.94,31
18249,2024-04-05 11:16:00,159.0,159.0,159.0,159.0,30
18250,2024-04-05 11:13:00,158.58,158.58,158.58,158.58,21
18251,2024-04-05 11:02:00,158.86,158.86,158.86,158.86,32
18252,2024-04-05 10:22:00,158.64,158.64,158.64,158.64,10
18253,2024-04-05 10:12:00,158.5,158.5,158.5,158.5,20
18254,2024-04-05 10:08:00,159.0,159.0,159.0,159.0,15
18255,2024-04-05 08:54:00,158.86,158.86,158.52,158.52,14
18256,2024-04-05 08:40:00,158.52,158.52,158.52,158.52,3
18257,2024-04-05 08:39:00,158.52,158.52,158.52,158.52,27
18258,2024-04-05 08:32:00,158.89999,158.89999,158.89999,158.89999,100
18259,2024-04-05 08:30:00,158.96001,158.96001,158.96001,158.96001,18
18260,2024-04-05 08:16:00,158.24001,158.24001,158.24001,158.24001,18
18261,2024-04-05 08:04:00,158.2,158.2,158.2,158.2,0
18262,2024-04-08 21:48:00,159.12,159.12,159.12,159.12,20
18263,2024-04-08 21:36:00,159.88,159.88,159.88,159.88,20
18264,2024-04-08 21:24:00,159.88,159.88,159.88,159.88,3
18265,2024-04-08 21:10:00,159.92,159.92,159.92,159.92,30
18266,2024-04-08 21:00:00,160.14,160.14,160.14,160.14,11
18267,2024-04-08 20:58:00,160.22,160.22,160.22,160.22,4
18268,2024-04-08 20:55:00,160.22,160.22,160.22,160.22,3
18269,2024-04-08 20:22:00,160.7,160.7,160.7,160.7,50
18270,2024-04-08 20:13:00,160.3,160.3,160.3,160.3,100
18271,2024-04-08 19:48:00,160.10001,160.10001,160.10001,160.10001,63
18272,2024-04-08 19:44:00,159.84,159.84,159.84,159.84,500
18273,2024-04-08 19:42:00,160.28,160.28,160.28,160.28,5
18274,2024-04-08 18:54:00,159.7,159.7,159.7,159.7,200
18275,2024-04-08 18:36:00,159.7,159.7,159.7,159.7,60
18276,2024-04-08 18:27:00,160.03999,160.03999,160.03999,160.03999,25
18277,2024-04-08 18:24:00,159.92,159.92,159.92,159.92,50
18278,2024-04-08 17:49:00,159.52,159.52,159.52,159.52,10
18279,2024-04-08 17:25:00,160.60001,160.60001,160.60001,160.60001,50
18280,2024-04-08 17:16:00,160.36,160.36,160.36,160.36,35
18281,2024-04-08 17:14:00,160.3,160.3,160.3,160.3,35
18282,2024-04-08 16:55:00,160.0,160.0,160.0,160.0,100
18283,2024-04-08 16:40:00,158.82001,158.82001,158.82001,158.82001,16
18284,2024-04-08 16:30:00,157.75999,157.75999,157.75999,157.75999,480
18285,2024-04-08 16:22:00,158.17999,158.17999,158.17999,158.17999,95
18286,2024-04-08 16:15:00,157.22,158.0,157.22,158.0,1450
18287,2024-04-08 16:14:00,157.14,157.14,157.14,157.14,98
18288,2024-04-08 15:55:00,159.34,159.34,159.34,159.34,30
18289,2024-04-08 15:53:00,158.98,158.98,158.98,158.98,6
18290,2024-04-08 15:41:00,157.34,157.34,157.34,157.34,2
18291,2024-04-08 15:36:00,157.89999,157.89999,157.89999,157.89999,7
18292,2024-04-08 15:31:00,155.0,155.0,155.0,155.0,1010
18293,2024-04-08 14:57:00,155.3,155.3,155.3,155.3,36
18294,2024-04-08 14:53:00,155.14,155.14,155.14,155.14,5
18295,2024-04-08 14:50:00,156.17999,156.17999,156.17999,156.17999,100
18296,2024-04-08 14:48:00,155.84,155.84,155.84,155.84,150
18297,2024-04-08 14:25:00,156.84,156.84,156.84,156.84,30
18298,2024-04-08 14:16:00,156.92,156.92,156.92,156.92,20
18299,2024-04-08 13:58:00,156.24001,156.24001,156.24001,156.24001,50
18300,2024-04-08 13:47:00,155.58,155.58,155.58,155.58,4
18301,2024-04-08 13:34:00,155.64,155.64,155.64,155.64,7
18302,2024-04-08 13:28:00,154.8,154.8,154.8,154.8,1
18303,2024-04-08 13:25:00,155.08,155.08,155.08,155.08,70
18304,2024-04-08 13:13:00,155.17999,155.17999,155.17999,155.17999,1000
18305,2024-04-08 13:12:00,155.12,155.12,155.12,155.12,20
18306,2024-04-08 13:09:00,156.17999,156.17999,156.17999,156.17999,10
18307,2024-04-08 12:59:00,157.2,157.2,157.2,157.2,1
18308,2024-04-08 12:56:00,157.94,157.94,157.94,157.94,30
18309,2024-04-08 12:36:00,157.3,157.3,157.3,157.3,9
18310,2024-04-08 12:27:00,157.3,157.3,157.3,157.3,40
18311,2024-04-08 12:20:00,157.60001,157.60001,157.60001,157.60001,64
18312,2024-04-08 12:19:00,157.60001,157.60001,157.60001,157.60001,10
18313,2024-04-08 12:17:00,157.60001,157.60001,157.60001,157.60001,25
18314,2024-04-08 12:11:00,157.39999,157.39999,157.39999,157.39999,40
18315,2024-04-08 12:10:00,157.39999,157.39999,157.39999,157.39999,70
18316,2024-04-08 12:06:00,157.3,157.3,157.3,157.3,35
18317,2024-04-08 11:24:00,157.82001,157.82001,157.82001,157.82001,280
18318,2024-04-08 10:39:00,158.62,158.62,158.62,158.62,38
18319,2024-04-08 10:36:00,158.24001,158.7,158.24001,158.7,333
18320,2024-04-08 10:24:00,157.89999,157.89999,157.89999,157.89999,30
18321,2024-04-08 10:21:00,158.14,158.14,158.14,158.14,50
18322,2024-04-08 10:20:00,157.32001,157.53999,157.32001,157.53999,69
18323,2024-04-08 10:05:00,157.78,157.78,157.78,157.78,4
18324,2024-04-08 10:04:00,159.0,159.0,159.0,159.0,3
18325,2024-04-08 10:01:00,158.16,158.16,158.16,158.16,3
18326,2024-04-08 09:56:00,157.98,157.98,157.98,157.98,15
18327,2024-04-08 09:49:00,157.98,157.98,157.98,157.98,11
18328,2024-04-08 09:40:00,157.86,157.86,157.86,157.86,3
18329,2024-04-08 09:31:00,157.75999,157.75999,157.75999,157.75999,6
18330,2024-04-08 09:27:00,158.0,158.0,158.0,158.0,50
18331,2024-04-08 09:06:00,157.02,157.44,157.02,157.44,1000
18332,2024-04-08 09:00:00,156.92,156.92,156.92,156.92,130
18333,2024-04-08 08:56:00,157.3,157.3,157.3,157.3,2
18334,2024-04-08 08:48:00,157.44,157.44,157.44,157.44,50
18335,2024-04-08 08:38:00,157.02,157.02,157.02,157.02,6
18336,2024-04-08 08:37:00,157.46001,157.46001,157.46001,157.46001,10
18337,2024-04-08 08:35:00,157.42,157.42,157.42,157.42,100
18338,2024-04-08 08:26:00,157.02,157.02,157.02,157.02,30
18339,2024-04-08 08:13:00,157.17999,157.17999,157.17999,157.17999,200
18340,2024-04-08 08:07:00,157.12,157.12,157.12,157.12,100
18341,2024-04-08 08:05:00,157.10001,157.10001,157.10001,157.10001,30
18342,2024-04-08 08:04:00,157.5,157.5,157.5,157.5,0
18343,2024-04-09 21:54:00,162.25999,162.25999,162.25999,162.25999,13
18344,2024-04-09 21:05:00,161.03999,161.52,161.03999,161.52,12
18345,2024-04-09 20:21:00,162.36,162.36,162.36,162.36,21
18346,2024-04-09 20:17:00,162.36,162.36,162.36,162.36,50
18347,2024-04-09 19:35:00,161.32001,161.32001,161.32001,161.32001,63
18348,2024-04-09 19:05:00,161.44,161.44,161.44,161.44,2
18349,2024-04-09 19:02:00,161.08,161.08,161.08,161.08,100
18350,2024-04-09 18:45:00,161.38,161.38,161.38,161.38,35
18351,2024-04-09 18:40:00,160.66,160.66,160.66,160.66,35
18352,2024-04-09 18:19:00,162.03999,162.03999,162.03999,162.03999,70
18353,2024-04-09 17:58:00,161.03999,161.03999,161.03999,161.03999,20
18354,2024-04-09 17:57:00,161.0,161.0,161.0,161.0,60
18355,2024-04-09 17:43:00,160.98,160.98,160.98,160.98,150
18356,2024-04-09 17:41:00,161.0,161.0,161.0,161.0,18
18357,2024-04-09 17:14:00,162.10001,162.10001,162.10001,162.10001,20
18358,2024-04-09 17:10:00,161.92,161.92,161.92,161.92,2
18359,2024-04-09 17:09:00,161.86,161.86,161.86,161.86,100
18360,2024-04-09 17:04:00,161.3,161.3,161.3,161.3,36
18361,2024-04-09 17:03:00,161.62,161.62,161.62,161.62,745
18362,2024-04-09 17:02:00,162.08,162.08,162.08,162.08,10
