,1. open,2. high,3. low,4. close
2024-02-09,0.92790,0.92890,0.92620,0.92690
2024-02-08,0.92800,0.93070,0.92670,0.92760
2024-02-07,0.92980,0.92990,0.92710,0.92800
2024-02-06,0.93080,0.93230,0.92890,0.92960
2024-02-05,0.92660,0.93230,0.92660,0.93060
2024-02-02,0.91950,0.92730,0.91740,0.92670
2024-02-01,0.92420,0.92740,0.91930,0.91950
2024-01-31,0.92190,0.92610,0.91840,0.92420
2024-01-30,0.92270,0.92460,0.92090,0.92180
2024-01-29,0.92170,0.92590,0.92140,0.92280
2024-01-26,0.92170,0.92460,0.91870,0.92100
2024-01-25,0.91880,0.92370,0.91730,0.92170
2024-01-24,0.92140,0.92160,0.91460,0.91840
2024-01-23,0.91860,0.92380,0.91590,0.92110
2024-01-22,0.91750,0.91880,0.91640,0.91860
2024-01-19,0.91920,0.91990,0.91740,0.91740
2024-01-18,0.91860,0.92150,0.91660,0.91920
2024-01-17,0.91910,0.92180,0.91850,0.91870
2024-01-16,0.91330,0.92030,0.91280,0.91930
2024-01-15,0.91260,0.91440,0.91140,0.91290
2024-01-12,0.91100,0.91410,0.90980,0.91290
2024-01-11,0.91110,0.91450,0.90970,0.91110
2024-01-10,0.91450,0.91520,0.91110,0.91120
2024-01-09,0.91290,0.91630,0.91170,0.91450
2024-01-08,0.91270,0.91510,0.91060,0.91300
2024-01-05,0.91340,0.91880,0.90930,0.91380
2024-01-04,0.91540,0.91590,0.91130,0.91330
2024-01-03,0.91370,0.91760,0.91180,0.91530
2024-01-02,0.90510,0.91390,0.90490,0.91370
2024-01-01,0.90450,0.90590,0.90450,0.90480
2023-12-29,0.90370,0.90600,0.90200,0.90580
2023-12-28,0.90040,0.90430,0.89760,0.90370
2023-12-27,0.90540,0.90650,0.89890,0.90020
2023-12-26,0.90910,0.90930,0.90510,0.90540
2023-12-25,0.90800,0.90920,0.90680,0.90820
2023-12-22,0.90800,0.90920,0.90550,0.90800
2023-12-21,0.91400,0.91420,0.90780,0.90790
2023-12-20,0.91040,0.91460,0.91010,0.91360
2023-12-19,0.91550,0.91580,0.90990,0.91040
2023-12-18,0.91680,0.91790,0.91470,0.91520
2023-12-15,0.90940,0.91800,0.90860,0.91750
2023-12-14,0.91930,0.91960,0.90810,0.90950
2023-12-13,0.92630,0.92800,0.91770,0.91930
2023-12-12,0.92920,0.92940,0.92360,0.92620
2023-12-11,0.92980,0.93070,0.92750,0.92870
2023-12-08,0.92600,0.93190,0.92570,0.92910
2023-12-07,0.92860,0.92940,0.92430,0.92620
2023-12-06,0.92590,0.92920,0.92540,0.92870
2023-12-05,0.92240,0.92750,0.92170,0.92580
2023-12-04,0.91890,0.92520,0.91760,0.92260
2023-12-01,0.91820,0.92290,0.91610,0.91850
2023-11-30,0.91140,0.91890,0.91020,0.91820
2023-11-29,0.90960,0.91200,0.90750,0.91140
2023-11-28,0.91270,0.91420,0.90810,0.90940
2023-11-27,0.91330,0.91500,0.91230,0.91270
2023-11-24,0.91690,0.91760,0.91310,0.91360
2023-11-23,0.91770,0.91850,0.91490,0.91670
2023-11-22,0.91610,0.92110,0.91530,0.91820
2023-11-21,0.91380,0.91710,0.91170,0.91630
2023-11-20,0.91620,0.91740,0.91290,0.91380
2023-11-17,0.92160,0.92350,0.91590,0.91600
2023-11-16,0.92200,0.92310,0.91760,0.92120
2023-11-15,0.91900,0.92300,0.91850,0.92170
2023-11-14,0.93370,0.93490,0.91830,0.91890
2023-11-13,0.93600,0.93730,0.93380,0.93460
2023-11-10,0.93720,0.93810,0.93500,0.93550
2023-11-09,0.93360,0.93770,0.93220,0.93710
2023-11-08,0.93440,0.93780,0.93300,0.93350
2023-11-07,0.93300,0.93730,0.93240,0.93430
2023-11-06,0.93230,0.93290,0.92950,0.93290
2023-11-03,0.94140,0.94180,0.93030,0.93200
2023-11-02,0.94570,0.94570,0.93720,0.94120
2023-11-01,0.94500,0.95040,0.94490,0.94600
2023-10-31,0.94180,0.94690,0.93710,0.94520
2023-10-30,0.94600,0.94780,0.94090,0.94170
2023-10-27,0.94640,0.94890,0.94340,0.94610
2023-10-26,0.94610,0.94980,0.94590,0.94660
2023-10-25,0.94400,0.94620,0.94260,0.94600
2023-10-24,0.93700,0.94460,0.93510,0.94380
2023-10-23,0.94350,0.94570,0.93630,0.93710
2023-10-20,0.94470,0.94620,0.94290,0.94360
2023-10-19,0.94870,0.94950,0.94240,0.94470
2023-10-18,0.94520,0.95000,0.94370,0.94890
2023-10-17,0.94670,0.94910,0.94360,0.94530
2023-10-16,0.95060,0.95070,0.94620,0.94670
2023-10-13,0.94940,0.95250,0.94690,0.95130
2023-10-12,0.94140,0.94990,0.93970,0.94940
2023-10-11,0.94270,0.94450,0.94010,0.94140
2023-10-10,0.94620,0.94710,0.94140,0.94270
2023-10-09,0.94680,0.95020,0.94550,0.94600
2023-10-06,0.94750,0.95370,0.94320,0.94410
2023-10-05,0.95140,0.95210,0.94750,0.94770
2023-10-04,0.95520,0.95630,0.94920,0.95150
2023-10-03,0.95400,0.95670,0.95280,0.95530
2023-10-02,0.94580,0.95430,0.94400,0.95400
2023-09-29,0.94620,0.94690,0.94170,0.94560
2023-09-28,0.95150,0.95290,0.94510,0.94630
2023-09-27,0.94560,0.95320,0.94540,0.95160
2023-09-26,0.94380,0.94650,0.94240,0.94570
2023-09-25,0.93910,0.94530,0.93820,0.94380
2023-09-22,0.93780,0.94170,0.93690,0.93920
2023-09-21,0.93750,0.94150,0.93670,0.93770
2023-09-20,0.93620,0.93870,0.93110,0.93730
2023-09-19,0.93510,0.93650,0.93280,0.93610
2023-09-18,0.93730,0.93820,0.93450,0.93490
2023-09-15,0.93930,0.94010,0.93540,0.93790
2023-09-14,0.93160,0.94030,0.92980,0.93940
2023-09-13,0.92910,0.93270,0.92870,0.93170
