Price;Close;High;Low;Open;Volume
Ticker;TSLA;TSLA;TSLA;TSLA;TSLA
Date;;;;;
22.03.2024;1.708.300.018.310.540;1.711.999.969.482.420;1.663.000.030.517.570;16.669.000.244.140.600;75454700
25.03.2024;1.726.300.048.828.120;17.524.000.549.316.400;16.872.999.572.753.900;16.875.999.450.683.500;74228600
26.03.2024;1.776.699.981.689.450;184.25;1.773.800.048.828.120;1.785.800.018.310.540;113186200
27.03.2024;1.798.300.018.310.540;18.191.000.366.210.900;176.0;18.141.000.366.210.900;81804000
28.03.2024;1.757.899.932.861.320;17.957.000.732.421.800;1.753.000.030.517.570;1.774.499.969.482.420;77654800
01.04.2024;17.522.000.122.070.300;176.75;1.702.100.067.138.670;1.761.699.981.689.450;81562100
02.04.2024;1.666.300.048.828.120;16.769.000.244.140.600;16.342.999.267.578.100;164.75;116650600
03.04.2024;1.683.800.048.828.120;16.882.000.732.421.800;16.327.999.877.929.600;16.402.000.427.246.000;82950100
04.04.2024;17.111.000.061.035.100;17.719.000.244.140.600;16.800.999.450.683.500;17.007.000.732.421.800;123162000
05.04.2024;16.489.999.389.648.400;17.086.000.061.035.100;16.050.999.450.683.500;1.690.800.018.310.540;141250700
08.04.2024;17.297.999.572.753.900;174.5;1.677.899.932.861.320;16.933.999.633.789.000;104423300
09.04.2024;1.768.800.048.828.120;17.922.000.122.070.300;1.719.199.981.689.450;17.291.000.366.210.900;103232700
10.04.2024;17.175.999.450.683.500;17.492.999.267.578.100;17.000.999.450.683.500;1.730.399.932.861.320;84532400
11.04.2024;17.460.000.610.351.500;1.758.800.048.828.120;16.850.999.450.683.500;1.725.500.030.517.570;94516000
12.04.2024;1.710.500.030.517.570;17.380.999.755.859.300;17.036.000.061.035.100;17.233.999.633.789.000;64506600
15.04.2024;16.147.999.572.753.900;17.069.000.244.140.600;1.613.800.048.828.120;17.024.000.549.316.400;100245300
16.04.2024;15.711.000.061.035.100;15.819.000.244.140.600;153.75;15.674.000.549.316.400;97000000
17.04.2024;1.554.499.969.482.420;1.583.300.018.310.540;15.377.999.877.929.600;15.763.999.938.964.800;82439700
18.04.2024;14.992.999.267.578.100;1.521.999.969.482.420;1.486.999.969.482.420;151.25;96098800
